id	text	audio_url	translate_id	translate_text
1277	I have to go to sleep.	http://www.manythings.org/tatoeba	5662	Tôi phải đi ngủ.
1280	Today is June 18th and it is Muiriel's birthday!	NULL	5665	Hôm nay là ngày 18 tháng sáu, và cũng là ngày sinh nhật của Muiriel!
1282	Muiriel is 20 now.	NULL	5667	Bây giờ Muiriel được 20 tuổi.
1283	"The password is ""Muiriel""."	NULL	5668	"Mật mã là ""Muiriel""."
1284	I will be back soon.	http://www.manythings.org/tatoeba	9554239	Tôi sẽ sớm trở lại
1286	I'm at a loss for words.	http://www.manythings.org/tatoeba	8974609	Tôi không còn gì để nói cả.
1287	This is never going to end.	http://www.manythings.org/tatoeba	8974611	Điều này sẽ chẳng bao giờ kết thúc.
1288	I just don't know what to say.	http://www.manythings.org/tatoeba	5673	Tôi không biết nên nói gì cả...
1289	That was an evil bunny.	NULL	5674	Đó là một con thỏ hung ác.
1290	I was in the mountains.	http://www.manythings.org/tatoeba	5675	Tôi từ trên núi xuống.
1291	Is it a recent picture?	http://www.manythings.org/tatoeba	5676	Tấm hình này có mới không?
1298	This will cost €30.	http://www.manythings.org/tatoeba	3549793	Cái này sẽ tốn €30.
1299	I make €100 a day.	http://www.manythings.org/tatoeba	3549780	Tôi kiếm được 100 euro một ngày.
1301	It's because you don't want to be alone.	NULL	3549779	Đó là vì bạn không muốn đơn độc.
1302	That won't happen.	http://www.manythings.org/tatoeba	8974663	Điều đó sẽ không xảy ra đâu.
1304	I'll do my best not to disturb your studying.	http://www.manythings.org/tatoeba	5679	Tôi sẽ cố không quấy rầy bạn học hành.
1311	You should sleep.	http://www.manythings.org/tatoeba	5682	Bạn nên đi ngủ đi.
1319	If the world weren't in the shape it is now, I could trust anyone.	NULL	5684	Nếu thế giới không như bây giờ, thì tôi có thể tin ai cũng được.
1320	It is unfortunately true.	NULL	5685	Tiếc rằng cái đó là sự thật.
1322	Most people think I'm crazy.	http://www.manythings.org/tatoeba	8974687	Nhiều người nghĩ là tôi điên.
1328	Oh, there's a butterfly!	NULL	5687	Ô kìa, con bươm bướm!
1329	Hurry up.	http://www.manythings.org/tatoeba	5168544	Thoáng cái chân lên!
1330	It doesn't surprise me.	http://www.manythings.org/tatoeba	9027868	Điều đó không làm cho tôi ngạc nhiên.
1333	It depends on the context.	http://www.manythings.org/tatoeba	5690	Cái đó tùy thuộc vào văn cảnh.
1337	When I grow up, I want to be a king.	http://www.manythings.org/tatoeba	9554344	khi tôi lớn, tôi muốn trở thành một ông vua
1338	America is a lovely place to be, if you are here to earn money.	NULL	5692	Sống ở Mỹ rất thích nếu là ở đây để kiếm tiền.
1339	I'm so fat.	http://www.manythings.org/tatoeba	8974646	Tôi béo quá.
1340	So what?	NULL	5694	Thì sao?
1341	I'm gonna shoot him.	NULL	9777644	Tôi sẽ bắn anh ta.
1348	That's because you're a girl.	http://www.manythings.org/tatoeba	8974619	Đó là vì bạn là một cô gái.
1352	I don't intend to be selfish.	NULL	5697	Tôi không có ý định ích kỷ đâu.
1354	How many close friends do you have?	http://www.manythings.org/tatoeba	5698	Bạn có bao nhiêu bạn thân?
1358	One can always find time.	http://www.manythings.org/tatoeba	5700	Một người luôn luôn có thể kiếm thêm thì giờ.
1365	If I could send you a marshmallow, Trang, I would.	NULL	5702	Nếu tôi có thể gửi Trang một cục marshmallow thì tôi sẽ gửi.
1368	Why do you ask?	http://www.manythings.org/tatoeba	9555067	tại sao bạn hỏi
1371	I am a flawed person, but these are flaws that can easily be fixed.	NULL	5703	Tôi là người có nhiều thói xấu nhưng những thói xấu này có thể dễ dàng sửa.
1372	Whenever I find something I like, it's too expensive.	http://www.manythings.org/tatoeba	5704	Hễ tôi kiếm được cái gì tôi thích thì nó lại đắt quá.
1378	I think I have a theory about that.	http://www.manythings.org/tatoeba	9555090	tôi nghĩ tôi có một giả thuyết về điều đó
1379	That is intriguing.	http://www.manythings.org/tatoeba	5706	Cái đó nhìn hấp dẫn.
1385	This is not important.	http://www.manythings.org/tatoeba	9555104	điều đó không quan trọng
1386	I didn't like it.	http://www.manythings.org/tatoeba	9555107	tôi không thích nó
1390	There's a problem there that you don't see.	http://www.manythings.org/tatoeba	8990221	Có một vấn đề mà bạn không để ý.
1391	You can do it.	http://www.manythings.org/tatoeba	9555117	bạn có thể làm được
1392	My physics teacher doesn't care if I skip classes.	http://www.manythings.org/tatoeba	5707	Thầy vật lý không để ý đến việc lên lớp của tôi.
1393	I wish I could go to Japan.	http://www.manythings.org/tatoeba	9555126	tôi ước tôi có thể tới nhật bản
1394	I hate it when there are a lot of people.	NULL	5708	Tôi ghét những lúc đông người.
1395	I have to go to bed.	http://www.manythings.org/tatoeba	9555143	tôi phải đi ngủ
1397	I won't ask you anything else today.	http://www.manythings.org/tatoeba	9555147	tôi sẽ không hỏi bạn bất cứ điều gì khác hôm nay
1398	It may freeze next week.	http://www.manythings.org/tatoeba	9555155	nó có thể đóng băng vào tuần tới
1399	Even though he apologized, I'm still furious.	http://www.manythings.org/tatoeba	9555162	mặc dù anh ấy đã xin lỗi, tôi vẫn tức giận
1400	The police will get you to find the bullets.	NULL	5709	Cảnh sát sẽ bắt bạn tìm ra mấy viên đạn.
1402	That wasn't my intention.	http://www.manythings.org/tatoeba	9555167	đó không phải ý định của tôi
1403	Thanks for your explanation.	http://www.manythings.org/tatoeba	8974572	Cảm ơn bạn đã giải thích giúp tôi.
1408	I don't know what you mean.	http://www.manythings.org/tatoeba	5711	Tôi không biết ý của bạn là gì.
1410	You wanted to tell me about freedom?	NULL	5712	Bạn muốn nói với tôi về sự tự do hả?
1414	There are many words that I don't understand.	http://www.manythings.org/tatoeba	8974701	Có nhiều từ mà tôi không hiểu.
1417	I need to ask you a silly question.	http://www.manythings.org/tatoeba	5714	Tôi cần hỏi một câu hỏi ngớ ngẩn.
1418	I don't know how to demonstrate it, since it's too obvious!	NULL	5715	Tôi không biết phải trình bày thế nào, bởi vì nó đã quá rõ ràng rồi.
1420	Can it be phrased in another way?	http://www.manythings.org/tatoeba	5716	Có thể nói cách khác được không?
1422	I found a solution, but I found it so fast that it can't be the right solution.	NULL	5717	Tôi đã tìm ra cách, nhưng mà tìm ra nhanh thế này thì chắc hẳn đó không phải là cách hay rồi.
1423	It seems interesting to me.	http://www.manythings.org/tatoeba	9559480	Nó có vể thú vị với tôi.
1424	Except that here, it's not so simple.	NULL	8974597	Nhưng ở đây thì nó không đơn giản như vậy đâu.
1425	I like candlelight.	http://www.manythings.org/tatoeba	9041931	Tôi thích ánh nến.
1426	What did you answer?	http://www.manythings.org/tatoeba	8989041	Bạn đã trả lời như thế nào?
1427	No, he's not my new boyfriend.	NULL	5720	Không, anh ấy không phải bạn trai mới của tôi.
1429	You never have class or what?!	NULL	5721	Bạn không bao giờ có lớp hay sao?
1431	Where is the problem?	http://www.manythings.org/tatoeba	8974592	Vấn đề nằm ở đâu?
1432	I can only wait.	NULL	8974584	Tôi chỉ còn cách chờ đợi mà thôi.
1433	It's not much of a surprise, is it?	http://www.manythings.org/tatoeba	9559482	Nó không nhiều ngạc nhiên, đúng không?
1434	I love you.	http://www.manythings.org/tatoeba	405410	Em yêu anh!
1435	I don't like you anymore.	http://www.manythings.org/tatoeba	5725	Tao không thích mày nữa.
1436	I am curious.	http://www.manythings.org/tatoeba	9559485	Tôi tò mò.
1437	Congratulations!	http://www.manythings.org/tatoeba	9555398	Chúc mừng
1438	I don't want to wait that long.	http://www.manythings.org/tatoeba	9559486	Tôi không muốn đợi lâu như vậy.
1439	Why don't you come visit us?	http://www.manythings.org/tatoeba	9559487	Tại sao bạn không đến thăm chúng tôi?
1442	I shouldn't have logged off.	http://www.manythings.org/tatoeba	9559488	Tôi không nên đăng xuất.
1443	I don't know what to do anymore.	http://www.manythings.org/tatoeba	9559489	Tôi không biết phải làm gì nữa.
1445	I hate chemistry.	http://www.manythings.org/tatoeba	9559490	Tôi ghét hóa học.
1446	I didn't want this to happen.	http://www.manythings.org/tatoeba	9559491	Tôi không muốn điều này xảy ra.
1447	You can probably guess what happens though.	http://www.manythings.org/tatoeba	5729	Chắc bạn cũng đoán được cái gì xảy ra mà.
1449	What other options do I have?	http://www.manythings.org/tatoeba	5730	Tôi còn có sự chọn lựa nào khác nữa?
1451	I have nothing better to do.	http://www.manythings.org/tatoeba	5731	Tôi không có gì tốt hơn để làm hết.
1452	I can't explain it either.	http://www.manythings.org/tatoeba	9559492	Tôi cũng không giải thích được.
1453	Everyone has strengths and weaknesses.	NULL	5732	Người nào cũng có cái hay và cái dở của họ.
1458	It's not something anyone can do.	http://www.manythings.org/tatoeba	9559494	Đó không phải là điều mà ai cũng có thể làm.
1459	I don't know if I still have it.	http://www.manythings.org/tatoeba	5733	Không biết là tôi còn không nữa.
1460	What do you think I've been doing?	http://www.manythings.org/tatoeba	5734	Bạn nghĩ tôi đang làm gì?
1462	My mom doesn't speak English very well.	http://www.manythings.org/tatoeba	8974641	Mẹ tôi nói tiếng Anh không được giỏi cho lắm.
1466	How do you find food in outer space?	NULL	5736	Làm sao để tìm được thức ăn khi đang ở ngoài không gian?
1467	All you can do is trust one another.	http://www.manythings.org/tatoeba	9559495	Tất cả bạn có thể làm là tin tưởng lẫn nhau.
1468	Everyone wants to meet you. You're famous!	http://www.manythings.org/tatoeba	5737	Mọi người muốn gặp bạn vì bạn nổi tiếng!
1469	Why are you sorry for something you haven't done?	http://www.manythings.org/tatoeba	9559497	Tại sao bạn hối tiếc vì điều bạn chưa làm được?
1470	I utterly despise formal writing!	NULL	5738	Tôi rất ghét phải viết theo khuôn mẫu!
1473	What keeps you up so late?	http://www.manythings.org/tatoeba	5739	Bạn làm gì mà thức khuya quá vậy?
1476	You're not fast enough.	http://www.manythings.org/tatoeba	5740	Bạn không đủ nhanh.
1477	Life is hard, but I am harder.	NULL	5741	Cuộc sống thì khó khăn đấy, nhưng tôi mạnh mẽ hơn nó nhiều.
1479	Stop it! You're making her feel uncomfortable!	NULL	5742	Đừng! Mày đang làm cô ấy bực bội đấy.
1480	Nothing is beautiful but the truth.	NULL	5743	Chỉ có sự thật là tốt đẹp.
